Movie Title,Inflation Adjusted Gross,Total Gross,Genre,MPAA Rating
Snow White and the Seven Dwarfs,$5228953251,$184925485,Musical,G
Pinocchio,$2188229052,$84300000,Adventure,G
Fantasia,$2187090808,$83320000,Musical,G
101 Dalmatians,$1621599883,$289189294,Comedy,G
Lady and the Tramp,$1236035515,$93600000,Drama,G
Song of the South,$1078510579,$65000000,Adventure,G
Star Wars Ep. VII: The Force Awakens,$936662225,$936662225,Adventure,PG-13
Cinderella,$920608730,$85000000,Drama,G
The Jungle Book,$789612346,$141843000,Musical,Not Rated
The Lion King,$761640898,$422780140,Adventure,G
The Jungle Book,$452931444,$408344079,Adventure,PG
Cinderella,$201151353,$201151353,Drama,PG
